start-date,end-date,sport,event,venue,
2019-01-01,2019-01-01,DARTS,PDC World Championship final,Alexandra Palace,
2019-01-01,2019-01-05,TENNIS,Hopman Cup,Perth,
2019-01-01,2019-01-05,TENNIS,Shenzhen Open,,
2019-01-01,2019-01-06,TENNIS,Qatar Open,,
2019-01-01,2019-01-06,TENNIS,Brisbane International,,
2019-01-01,2019-01-06,TENNIS,Tata Open,,
2019-01-01,2019-01-06,TENNIS,ASB Classic,,
2019-01-04,2019-01-07,FOOTBALL,FA Cup third round,,
2019-01-05,2019-02-01,FOOTBALL,Asian Cup,UAE,
2019-01-05,2019-01-13,DARTS,BDO World Championship,Lakeside Frimley Green,
2019-01-07,2019-01-12,TENNIS,Hobart International,,
2019-01-07,2019-01-13,TENNIS,ASB Classic,,
2019-01-07,2019-01-13,TENNIS,Sydney International,,
2019-01-08,2019-01-09,FOOTBALL,Carabao Cup semi-final first legs,,
2019-01-11,2019-01-13,RUGBY UNION,European Champions Cup fifth round,,
2019-01-13,2019-01-20,SNOOKER,Dafabet Masters,London,
2019-01-14,2019-01-27,TENNIS,Australian Open,Melbourne,
2019-01-15,2019-01-15,CRICKET,West Indies Board XI v England,Cave Hill,
2019-01-16,2019-01-19,GOLF,Abu Dhabi HSBC Championship,,
2019-01-17,2019-01-17,BASKETBALL,New York Knicks v Washington Wizards,London,
2019-01-18,2019-01-20,CYCLING,Track World Cup,Cambridge,
2019-01-18,2019-01-20,RUGBY UNION,European Champions Cup sixth round,,
2019-01-19,2019-01-19,FOOTBALL,Scottish Cup fourth round,,
2019-01-22,2019-01-23,FOOTBALL,Carabao Cup semi-final second legs,,
2019-01-23,2019-01-27,CRICKET,First Test West Indies v England,Bridgetown,
2019-01-25,2019-01-27,CYCLING,Track World Championships,Hong Kong,
2019-01-24,2019-01-27,MOTOR RACING,Monte Carlo Rally,,
2019-01-24,2019-01-27,GOLF,Dubai Desert Classic,,
2019-01-24,2019-01-27,GOLF,Farmers Insurance Open,California,
2019-01-25,2019-01-27,CYCLING,National Championships,Manchester,
2019-01-25,2019-01-28,FOOTBALL,FA Cup fourth round,,
2019-01-26,2019-01-27,RUGBY,LEAGUE Challenge Cup first round,,
2019-01-27,2019-01-27,BASKETBALL,Birmingham: BBL Cup final,Birmingham,
2019-01-27,2019-01-27,CYCLING,Cadel Evans Great Ocean Race,Australia,
2019-01-31,2019-01-31,RUGBY LEAGUE,Start of Super League season,,
2019-01-31,2019-02-03,GOLF,Saudi International,Saudi Arabia,
2019-01-31,2019-02-03,GOLF,Phoenix Open,Arizona,
2019-01-31,2019-02-04,CRICKET,Second Test: West Indies v England,Antigua,
2019-02-01,2019-02-01,RUGBY UNION,Six Nations: France v Wales,,
2019-02-01,2019-02-02,TENNIS,Davis Cup first round,,
2019-02-02,2019-02-02,RUGBY UNION,Six Nations: Ireland v England and Scotland v Italy,,
2019-02-03,2019-02-03,AMERICAN FOOTBALL,Super Bowl 53,Atlanta,
2019-02-09,2019-02-09,FOOTBALL,Scottish Cup fifth round,,
2019-02-09,2019-02-09,RUGBY UNION,Six Nations: Italy v Wales and Scotland v Ireland,,
2019-02-09,2019-02-10,ATHLETICS,British Indoor Championships,Birmingham,
2019-02-09,2019-02-10,RUGBY LEAGUE,Challenge Cup second round,,
2019-02-09,2019-02-10,TENNIS,Fed Cup quarter-finals,,
2019-02-09,2019-02-13,CRICKET,Third Test: West Indies v England,St Lucia,
2019-02-10,2019-02-10,RUGBY UNION,Six Nations: England v France,,
2019-02-11,2019-02-16,TENNIS,Qatar Open,Doha,
2019-02-12,2019-02-13,FOOTBALL,Champions League round of 16 first legs,,
2019-02-19,2019-02-20,FOOTBALL,Champions League round of 16 first legs,,
